prenom;code_nip;m2105;m1101;m1102;m1201;m2101
Driskoll;22471002503;11.81;8.59;8.89;12.86;8.23
Benton;63307674613;15.09;11.70;13.27;12.27;18.60
Stanford;82860724863;12.11;12.92;15.11;14.60;11.50
Upton;46694092977;12.61;7.75;11.82;8.72;7.23
Lalo;79396838189;8.74;7.70;10.21;14.54;14.20
Matthieu;48182287094;16.55;15.90;16.36;16.35;18.33
Marquis;52765332842;14.30;14.91;12.38;12.78;16.50
Deangelo;79671261384;8.76;7.84;8.39;9.98;3.40
Zachary;57314678533;7.66;9.55;4.75;13.81;6.47
Dustin;86036429779;14.59;13.38;12.97;14.13;15.70
Phillip;26785909414;13.99;9.37;13.76;14.76;5.83
Deemer;44347906626;12.53;12.70;10.63;14.92;10.91
Elric;25857563025;15.87;14.55;18.30;18.57;17.63
Lorne;51782462181;11.77;11.19;13.86;12.10;8.30
Quin;83560958893;9.80;8.37;6.80;12.86;12.87
Jeannot;41801493789;16.88;16.57;18.47;19.52;4.58
Diodore;71512776761;10.39;5.76;6.25;12.35;3.33
Maverick;71021135663;10.39;11.61;8.39;13.97;10.47
Berniece;67770176792;15.99;14.16;15.52;13.81;15.87
Rainier;80806470316;7.87;10.13;9.86;14.13;9.73
Barnaby;65886471128;9.16;11.45;9.24;13.41;10.40
Lally;82794565328;9.79;6.78;9.89;13.65;4.43
Al;40519298746;12.13;13.17;14.32;13.08;14.67
Annie;60258518771;11.06;14.78;10.27;18.89;13.13
Alden;26163193653;11.57;8.16;6.61;14.93;7.27
Mason;34738569217;10.57;10.04;10.46;14.25;10.92
Donnie;42952254826;10.48;10.14;9.12;12.25;7.58
Sylvain;78771236495;11.80;11.24;10.91;13.75;8.50
Fabrice;26747379287;11.62;11.23;13.46;18.00;11.92
Perry;32753657877;10.81;12.22;12.00;14.00;4.00
Gene;84972421774;13.44;11.72;14.57;12.00;10.83
Leyton;87944021064;9.49;6.74;5.59;8.75;5.58
Kipling;52340731515;0.00;7.55;8.59;16.00;0.00
Hewie;13238837734;11.48;11.12;10.04;15.50;18.25
Felicity;67849296226;13.54;9.59;11.84;13.50;10.67
Maurine;97161588305;13.04;9.29;8.34;14.75;12.33
Kolby;61114227341;11.64;11.51;12.86;10.25;7.58
Landon;65491305113;11.07;14.41;11.43;13.75;5.67
Kristia;53232672826;12.18;10.01;9.96;12.75;8.75
Everard;15218558818;11.61;8.95;9.57;9.75;6.92
Trent;76325203779;11.12;10.72;9.64;15.50;5.92
Everett;12525760162;12.69;14.29;14.98;13.00;13.75
Armel;85848558306;9.85;6.95;11.63;12.50;7.42
Gervase;57065736414;11.85;10.13;9.38;15.00;6.00
Piers;87071276324;10.46;12.69;11.16;16.00;11.17
Shaw;47444035352;14.93;13.62;15.11;18.50;11.83
Wiley;88492296575;12.64;9.16;9.46;14.75;10.50
Constant;64216574076;15.38;12.59;13.11;14.25;5.17
Alban;92883381631;8.89;13.07;13.43;12.50;6.17
Jeffrey;87474511016;13.16;13.71;16.07;10.25;14.33
Edison;25540202727;11.69;7.35;11.96;9.75;8.00
Jacob;31574373466;13.52;7.29;9.13;15.00;5.92
Amédée;66338875865;11.11;11.21;8.25;15.75;11.25
Nathan;59641855021;12.38;5.97;12.79;13.50;11.33
Guiscard;33515336564;14.91;15.78;16.79;14.00;16.42
Kimball;80535414991;13.38;10.95;13.42;12.75;9.50
Zach;98213263688;10.11;10.87;12.45;11.25;6.50
Deon;23234453527;12.61;9.56;11.82;13.25;12.83
Lovel;37343591022;13.60;12.43;14.23;16.75;9.83
Randolf;61852223799;13.24;12.84;14.67;12.00;13.83
Shelley;25086823375;16.27;16.37;13.29;17.25;14.42
Lucienne;36416770286;14.03;11.55;11.11;16.50;9.25
Wilbur;20162946786;13.46;15.21;13.29;12.75;16.67
Johnie;10519776610;13.58;11.24;10.66;13.25;11.92
Van;34466157825;9.58;7.07;8.55;12.00;7.67
Tel;29826986135;12.37;7.45;9.50;9.50;12.42
Jeff;99521765183;11.99;13.27;12.88;16.00;7.42
Gratien;61457276305;11.30;11.74;11.68;12.00;6.00
Dawson;41878462972;15.32;16.59;17.25;19.00;18.00
Floyd;10739238691;11.19;11.08;11.21;18.00;11.83
Dayton;61140719083;13.01;12.39;13.95;14.75;8.08
Xavier;60427147641;13.66;15.19;12.18;14.00;12.42
Lorn;66738112248;10.36;10.38;11.41;11.25;7.75
Ike;92612916813;12.20;8.51;7.73;9.25;5.67
Vincent;27876171472;10.90;7.01;8.27;12.75;6.92
Pete;62068812222;11.25;12.35;12.87;15.75;10.00
Kole;16089226106;12.28;12.76;11.89;14.25;5.50
Joël;50813751546;14.27;11.25;12.67;17.00;9.17
Layton;86546223573;12.82;12.59;14.93;15.00;12.83
Michel;22116458528;15.94;11.84;11.57;12.25;10.50
Jérémie;20453682353;16.98;17.92;19.23;17.75;20.00
Bennett;16637883506;12.21;13.02;15.64;16.75;12.83
Beauregard;26919816571;10.02;8.23;9.56;11.00;3.00
Félix;66713142142;11.03;8.49;10.61;11.00;6.00
Marin;34510658251;12.17;12.37;16.19;15.50;5.33
Major;50432205473;10.36;14.52;12.82;12.25;6.83
Telesphore;41587332413;11.54;9.42;6.33;11.50;5.33
Lori;42765931426;17.86;19.12;19.00;18.50;17.83
Gore;12143873181;15.12;8.80;15.41;18.00;6.25
Elea;85802419481;14.59;15.77;14.20;16.75;11.58
Linton;86354943372;6.42;8.22;7.90;8.50;5.67
York;46458982853;10.85;14.70;11.29;9.75;6.42
Upton;46694092977;10.32;13.41;15.14;11.00;13.75
Nicodème;58317761538;8.40;6.58;11.39;12.00;8.00
Michel;75241556779;11.16;16.02;15.45;16.75;16.58
Deangelo;79671261384;11.94;10.55;13.75;11.00;5.83
Zachary;57314678533;13.02;14.69;13.43;12.25;2.33
Montgomery;25466822195;12.73;4.70;11.35;13.75;5.75
Justin;95809759750;13.14;11.99;15.06;14.75;8.50
Joscelin;31772360481;9.33;9.63;7.93;13.25;6.50
Booker;66697227455;13.44;15.02;13.50;11.75;5.42
Vinnie;65862445151;13.63;8.38;7.79;10.75;9.50
Quin;83560958893;11.46;13.24;12.20;13.50;9.50
Brice;48472152087;10.14;7.15;6.79;10.25;5.67
Lanford;30436518266;9.82;9.09;11.41;15.25;7.42
Marion;52720647340;9.17;6.80;8.13;7.75;7.00
Odell;83214247769;13.72;12.44;15.47;16.50;9.67
Lorn;52929246235;11.26;13.76;16.00;17.50;13.67
Louie;46337788873;10.71;9.77;10.98;12.75;15.33
Luann;65162650533;10.75;7.07;7.20;13.50;10.25
Cole;85488851220;11.37;10.15;11.30;14.50;5.42
Teale;13492331351;13.13;13.26;11.45;17.25;13.17
Dax;81821114030;10.72;11.09;11.59;13.00;8.50
Lally;82794565328;10.66;10.39;14.55;14.25;10.50
Garey;57415570885;10.73;8.07;7.73;12.75;10.17
Oz;29054227466;15.15;15.25;14.11;18.75;16.33
Jermaine;55227033100;10.45;8.88;12.50;11.25;6.08
Charlot;24401542083;14.63;10.25;12.46;11.25;8.58
Lowell;59766742483;10.15;6.77;8.11;10.80;7.50
Erica;37845525863;12.00;8.02;12.57;11.85;8.17
Russell;42336175594;14.26;7.72;10.21;13.00;9.80
Leyton;87944021064;14.47;9.86;13.50;8.75;7.92
Kipling;52340731515;10.97;10.93;14.07;16.00;4.97
Arden;50613382477;10.50;8.12;12.00;10.00;4.23
Jeannot;86203391792;10.78;11.71;13.55;14.10;15.10
Xavior;25159865142;12.79;7.57;9.61;10.25;5.13
Gil;12724213604;14.92;11.72;17.44;15.65;15.53
Zacharie;25386684211;12.45;8.96;16.32;13.50;11.70
Denis;42568162498;9.11;9.86;9.33;13.65;7.83
Jake;38044125562;13.43;10.87;10.75;11.10;8.90
Jimi;78097625501;15.17;11.02;13.71;14.05;9.27
Innocent;82766591305;10.75;8.24;10.68;13.20;8.43
Christine;88963243766;16.69;10.07;14.88;13.05;11.90
Jonathon;56863476441;10.23;9.15;13.54;9.80;9.07
Kay;87730674868;12.38;7.28;10.36;13.95;6.07
Jere;98896626407;10.42;9.13;11.68;12.45;5.07
Kodey;77443626216;12.71;15.71;17.21;19.70;17.17
Corie;37304121773;9.39;7.44;10.29;12.35;8.93
Jonathon;55647943178;11.83;9.53;14.96;10.10;4.53
Lucetta;47558186344;15.13;12.51;17.02;16.00;14.30
Forest;83892567693;11.75;11.60;13.93;13.80;8.60
Durward;28115114148;8.67;5.61;10.36;10.95;5.03
Careen;27597304673;13.50;10.02;12.00;12.70;9.10
Marly;26240388211;16.08;10.52;10.29;11.50;6.40
Rhonda;69806859364;8.99;6.49;8.30;10.80;5.60
Thaddeus;55514115254;14.83;13.93;18.64;19.70;16.93
Maynard;97924469448;15.08;8.81;13.43;13.35;11.30
Cole;82662212710;8.79;10.19;11.29;10.70;5.20
Benjy;71541754786;10.30;11.26;11.61;12.60;8.42
Xerxes;21081554352;11.00;10.71;12.44;14.30;9.97
Jamison;80272818517;12.92;11.53;13.82;14.00;12.40
Kenith;21412482737;13.67;10.94;12.77;13.15;11.87
Hector;53641287755;9.65;6.78;11.09;13.55;5.40
Dominic;43482847611;14.24;11.45;13.04;15.50;10.42
Lloyd;31564542817;10.21;9.32;11.50;11.20;8.20
Van;34466157825;14.04;9.60;16.36;15.25;8.43
Gladwyn;22025186314;14.92;10.79;14.64;13.50;9.70
Benson;65084993745;13.83;10.36;13.29;13.20;9.80
Maverick;57050988362;11.33;9.12;12.79;12.60;9.77
Pancras;88239968801;12.67;12.03;14.25;14.30;12.27
Toussaint;13265212385;13.50;10.18;11.82;11.65;5.67
Flip;48676862325;16.02;11.04;15.07;15.50;15.67
Ike;92612916813;13.45;9.26;14.43;9.25;7.83
Humphry;23977475712;10.96;7.92;12.79;12.75;5.77
Jerome;22333454636;8.48;5.71;10.67;13.35;9.33
Lorin;58522389314;14.63;12.72;15.70;13.70;10.60
Randall;78183470343;14.50;8.35;14.71;14.80;3.43
Cleve;77605128570;14.42;9.71;13.93;18.60;12.73
Beatrix;58276644284;13.07;10.69;14.21;16.20;11.67
Moses;88501648777;14.84;14.38;17.21;13.25;19.80
Estelle;81230882446;12.15;8.41;9.86;12.90;6.60
Beauregard;26919816571;10.50;9.76;17.27;11.60;7.50
Porter;58209448594;14.12;12.33;14.18;12.10;12.93
Terence;30246571378;10.42;9.60;10.32;9.90;6.40
Telesphore;41587332413;15.78;15.68;16.29;17.00;17.57
Egbert;73274541445;12.78;7.23;15.54;4.00;8.40
Ern;37831736356;11.49;8.30;9.95;10.20;11.00
Antony;27356664926;11.46;7.24;12.47;9.15;8.60
Linton;86354943372;9.70;8.43;11.02;10.10;6.00
Audrey;14621268271;11.63;4.40;4.82;10.05;4.70
Anson;56190531766;15.88;13.07;15.11;19.05;17.60
Dudley;34572562393;8.33;10.30;13.36;12.60;12.43
Burt;69765619643;10.92;9.45;11.29;14.50;10.73
Angie;19123731423;13.71;7.83;11.39;13.40;8.37
Jarvis;55784499165;12.65;5.96;11.64;11.60;8.50
Shaun;48612625372;15.50;14.51;16.14;16.30;8.07
Félicie;28062382667;7.29;10.22;14.54;12.25;5.80
Irvine;25728166586;9.28;9.32;12.86;11.10;8.00
Wilfrid;71117967934;14.62;10.64;11.71;11.85;11.27
Bentley;28468747713;11.21;9.35;13.32;13.95;9.03
Delroy;71616113372;13.53;8.80;15.79;10.70;5.80
Montgomery;25466822195;15.38;11.90;16.01;15.70;11.77
Joan;28476752855;8.35;7.53;11.48;13.70;4.37
Edmund;41292302328;10.79;12.34;11.96;9.25;6.73
Franck;94815148026;13.63;7.55;10.25;11.20;6.53
Topher;81697021837;11.63;9.13;10.29;10.85;11.13
Branden;41808189449;9.42;9.58;13.31;12.90;8.33
Kory;86266687737;12.63;10.11;13.00;12.85;7.23
Kennith;51216060265;14.24;13.48;15.43;16.60;18.77
Dorthy;96333372436;11.41;8.51;12.61;13.35;7.83
Brice;48472152087;12.42;9.35;11.19;13.80;7.80
Donat;93511802254;11.31;6.20;8.86;10.10;8.43
Marshal;99133428437;15.08;17.18;16.25;18.15;16.00
Urban;43752088263;14.88;8.33;15.11;15.10;10.40
Gwilherm;26108320222;12.79;10.32;14.71;11.50;6.17
Rudy;67132968682;11.21;9.91;12.57;13.80;12.00
Sly;83288036334;9.63;11.22;13.36;13.30;8.23
Milo;46752018586;13.52;13.59;13.50;16.90;15.63
Tybalt;37700977726;13.92;11.54;14.71;9.10;14.03
Arron;72673714081;10.09;8.55;9.89;10.55;7.00
Jarrett;86323852768;10.89;9.60;9.93;12.10;13.70
Philip;91315361287;10.11;9.81;12.18;13.05;11.13
Leroy;16623496577;13.80;10.54;15.93;15.60;10.70
Royle;61761204192;10.71;8.92;10.66;8.55;11.77
Darden;58315571865;14.04;9.77;14.88;17.70;9.23
Bret;87552137748;11.69;9.64;12.07;13.20;13.27
Chuck;25217255841;12.00;6.67;11.24;14.50;8.67
Brack;12232460105;12.85;13.56;15.06;15.30;15.93
Chet;46696716818;12.54;10.86;14.88;13.20;7.40
